date,pos,ret_gross,cost,ret_net,eq_curve
2025-01-02,0.0,0.0,0.0,0.0,1.0
2025-01-03,0.0,0.0,0.0,0.0,1.0
2025-01-06,0.0,0.0,0.0,0.0,1.0
2025-01-07,0.0,-0.0,0.0,-0.0,1.0
2025-01-14,0.0,-0.0,0.0,-0.0,1.0
2025-01-21,0.0,0.0,0.0,0.0,1.0
2025-01-28,0.0,0.0,0.0,0.0,1.0
2025-02-03,0.0,0.0,0.0,0.0,1.0
2025-02-04,0.0,0.0,0.0,0.0,1.0
2025-02-05,0.0,-0.0,0.0,-0.0,1.0
2025-02-06,0.0,0.0,0.0,0.0,1.0
2025-02-07,0.0,-0.0,0.0,-0.0,1.0
2025-02-10,0.0,0.0,0.0,0.0,1.0
2025-02-11,0.0,0.0,0.0,0.0,1.0
2025-02-12,0.0,0.0,0.0,0.0,1.0
2025-02-13,0.0,0.0,0.0,0.0,1.0
2025-02-18,0.0,-0.0,0.0,-0.0,1.0
2025-02-19,0.0,0.0,0.0,0.0,1.0
2025-02-20,0.0,-0.0,0.0,-0.0,1.0
2025-02-24,0.0,0.0,0.0,0.0,1.0
2025-02-25,0.0,-0.0,0.0,-0.0,1.0
2025-02-26,0.0,-0.0,0.0,-0.0,1.0
2025-03-04,0.0,-0.0,0.0,-0.0,1.0
2025-03-05,0.0,0.0,0.0,0.0,1.0
2025-03-06,0.0,-0.0,0.0,-0.0,1.0
2025-03-07,0.0,0.0,0.0,0.0,1.0
2025-03-10,0.0,-0.0,0.0,-0.0,1.0
2025-03-11,0.0,-0.0,0.0,-0.0,1.0
2025-03-17,0.0,0.0,0.0,0.0,1.0
2025-03-18,0.0,-0.0,0.0,-0.0,1.0
2025-03-21,0.0,0.0,0.0,0.0,1.0
2025-03-24,0.0,0.0,0.0,0.0,1.0
2025-03-25,0.0,0.0,0.0,0.0,1.0
2025-03-26,0.0,-0.0,0.0,-0.0,1.0
2025-03-27,0.0,-0.0,0.0,-0.0,1.0
2025-04-01,0.0,0.0,0.0,0.0,1.0
2025-04-02,0.0,0.0,0.0,0.0,1.0
2025-04-08,0.0,-0.0,0.0,-0.0,1.0
2025-04-15,0.0,0.0,0.0,0.0,1.0
2025-04-22,0.0,0.0,0.0,0.0,1.0
2025-04-29,0.0,0.0,0.0,0.0,1.0
2025-05-06,0.0,-0.0,0.0,-0.0,1.0
2025-05-13,0.0,0.0,0.0,0.0,1.0
2025-05-14,0.0,0.0,0.0005,-0.0005,0.9995
2025-05-15,1.0,0.003972524027424429,0.0005,0.003472524027424429,1.0029707877654108
2025-05-20,0.0,-0.0,0.0,-0.0,1.0029707877654108
2025-05-27,0.0,0.0,0.0,0.0,1.0029707877654108
2025-06-03,0.0,-0.0,0.0005,-0.0005,1.002469302371528
2025-06-04,1.0,0.0063970445836170065,0.001,0.005397044583617006,1.0078796738901348
2025-06-10,-1.0,-0.012667977089249716,0.0005,-0.013167977089249716,0.994607937435629
2025-06-16,0.0,0.0,0.0005,-0.0005,0.9941106334669113
2025-06-17,-1.0,0.008817308352694342,0.0005,0.008317308352694341,1.002378958142148
2025-06-20,0.0,-0.0,0.0005,-0.0005,1.001877768663077
2025-06-24,-1.0,-0.012898296035784407,0.0005,-0.013398296035784407,0.9884543137268581
2025-06-25,0.0,-0.0,0.0005,-0.0005,0.9879600865699947
2025-07-01,1.0,-0.007094781643112613,0.0005,-0.007594781643112614,0.980456745440385
